623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
623196开头的银行卡是泰安银行借记卡 623196开头的银行卡号数字长度为19位 如：623196xxxxxxxxxxxxx
623083开头的银行卡是浙江稠州商业银行借记卡 623083开头的银行卡号数字长度为19位 如：623083xxxxxxxxxxxxx
621028开头的银行卡是浙江稠州商业银行借记卡 621028开头的银行卡号数字长度为16位 如：621028xxxxxxxxxx
628250开头的银行卡是浙江稠州商业银行贷记卡 628250开头的银行卡号数字长度为16位 如：628250xxxxxxxxxx
622973开头的银行卡是乌海银行股份有限公司借记卡 622973开头的银行卡号数字长度为19位 如：622973xxxxxxxxxxxxx
623153开头的银行卡是乌海银行股份有限公司借记卡 623153开头的银行卡号数字长度为19位 如：623153xxxxxxxxxxxxx
623121开头的银行卡是自贡市商业银行借记卡 623121开头的银行卡号数字长度为19位 如：623121xxxxxxxxxxxxx
621070开头的银行卡是自贡市商业银行借记卡 621070开头的银行卡号数字长度为19位 如：621070xxxxxxxxxxxxx
622977开头的银行卡是龙江银行股份有限公司借记卡 622977开头的银行卡号数字长度为19位 如：622977xxxxxxxxxxxxx
622978开头的银行卡是鄂尔多斯银行股份有限公司借记卡 622978开头的银行卡号数字长度为19位 如：622978xxxxxxxxxxxxx
628253开头的银行卡是鄂尔多斯银行贷记卡 628253开头的银行卡号数字长度为16位 如：628253xxxxxxxxxx
623093开头的银行卡是鄂尔多斯银行股份有限公司借记卡 623093开头的银行卡号数字长度为19位 如：623093xxxxxxxxxxxxx
628378开头的银行卡是鄂尔多斯银行股份有限公司贷记卡 628378开头的银行卡号数字长度为16位 如：628378xxxxxxxxxx
621200开头的银行卡是济宁银行股份有限公司借记卡 621200开头的银行卡号数字长度为19位 如：621200xxxxxxxxxxxxx
623116开头的银行卡是济宁银行股份有限公司借记卡 623116开头的银行卡号数字长度为19位 如：623116xxxxxxxxxxxxx
621038开头的银行卡是铁岭银行借记卡 621038开头的银行卡号数字长度为19位 如：621038xxxxxxxxxxxxx
623180开头的银行卡是铁岭银行借记卡 623180开头的银行卡号数字长度为19位 如：623180xxxxxxxxxxxxx
621086开头的银行卡是乐山市商业银行借记卡 621086开头的银行卡号数字长度为19位 如：621086xxxxxxxxxxxxx
621498开头的银行卡是乐山市商业银行借记卡 621498开头的银行卡号数字长度为19位 如：621498xxxxxxxxxxxxx
621448开头的银行卡是长安银行借记卡 621448开头的银行卡号数字长度为19位 如：621448xxxxxxxxxxxxx
621296开头的银行卡是长安银行借记卡 621296开头的银行卡号数字长度为19位 如：621296xxxxxxxxxxxxx
628385开头的银行卡是长安银行贷记卡 628385开头的银行卡号数字长度为16位 如：628385xxxxxxxxxx
621044开头的银行卡是宝鸡商行借记卡 621044开头的银行卡号数字长度为19位 如：621044xxxxxxxxxxxxx
622945开头的银行卡是重庆三峡银行借记卡 622945开头的银行卡号数字长度为16位 如：622945xxxxxxxxxx
621755开头的银行卡是重庆三峡银行借记卡 621755开头的银行卡号数字长度为16位 如：621755xxxxxxxxxx
622940开头的银行卡是石嘴山银行借记卡 622940开头的银行卡号数字长度为19位 如：622940xxxxxxxxxxxxx
623120开头的银行卡是石嘴山银行借记卡 623120开头的银行卡号数字长度为19位 如：623120xxxxxxxxxxxxx
628355开头的银行卡是石嘴山银行贷记卡 628355开头的银行卡号数字长度为16位 如：628355xxxxxxxxxx
621089开头的银行卡是盘锦市商业银行借记卡 621089开头的银行卡号数字长度为19位 如：621089xxxxxxxxxxxxx
623161开头的银行卡是盘锦市商业银行借记卡 623161开头的银行卡号数字长度为19位 如：623161xxxxxxxxxxxxx
621029开头的银行卡是昆仑银行股份有限公司借记卡 621029开头的银行卡号数字长度为19位 如：621029xxxxxxxxxxxxx
621766开头的银行卡是昆仑银行股份有限公司借记卡 621766开头的银行卡号数字长度为19位 如：621766xxxxxxxxxxxxx
623139开头的银行卡是昆仑银行股份有限公司借记卡 623139开头的银行卡号数字长度为19位 如：623139xxxxxxxxxxxxx
621071开头的银行卡是平顶山银行股份有限公司借记卡 621071开头的银行卡号数字长度为19位 如：621071xxxxxxxxxxxxx
623152开头的银行卡是平顶山银行股份有限公司借记卡 623152开头的银行卡号数字长度为19位 如：623152xxxxxxxxxxxxx
628339开头的银行卡是平顶山银行贷记卡 628339开头的银行卡号数字长度为16位 如：628339xxxxxxxxxx
621074开头的银行卡是朝阳银行借记卡 621074开头的银行卡号数字长度为19位 如：621074xxxxxxxxxxxxx
621515开头的银行卡是朝阳银行借记卡 621515开头的银行卡号数字长度为19位 如：621515xxxxxxxxxxxxx
623030开头的银行卡是朝阳银行借记卡 623030开头的银行卡号数字长度为19位 如：623030xxxxxxxxxxxxx
621345开头的银行卡是宁波东海银行借记卡 621345开头的银行卡号数字长度为18位 如：621345xxxxxxxxxxxx
623167开头的银行卡是宁波东海银行借记卡 623167开头的银行卡号数字长度为18位 如：623167xxxxxxxxxxxx
621090开头的银行卡是遂宁市商业银行借记卡 621090开头的银行卡号数字长度为19位 如：621090xxxxxxxxxxxxx
623178开头的银行卡是遂宁市商业银行借记卡 623178开头的银行卡号数字长度为19位 如：623178xxxxxxxxxxxxx
621091开头的银行卡是保定银行借记卡 621091开头的银行卡号数字长度为19位 如：621091xxxxxxxxxxxxx
623168开头的银行卡是保定银行借记卡 623168开头的银行卡号数字长度为19位 如：623168xxxxxxxxxxxxx
621238开头的银行卡是邢台银行股份有限公司借记卡 621238开头的银行卡号数字长度为19位 如：621238xxxxxxxxxxxxx
628325开头的银行卡是邢台银行贷记卡 628325开头的银行卡号数字长度为16位 如：628325xxxxxxxxxx
621057开头的银行卡是凉山州商业银行借记卡 621057开头的银行卡号数字长度为19位 如：621057xxxxxxxxxxxxx
623199开头的银行卡是凉山州商业银行借记卡 623199开头的银行卡号数字长度为19位 如：623199xxxxxxxxxxxxx
628303开头的银行卡是漯河银行贷记卡 628303开头的银行卡号数字长度为16位 如：628303xxxxxxxxxx
621233开头的银行卡是达州市商业银行借记卡 621233开头的银行卡号数字长度为19位 如：621233xxxxxxxxxxxxx
623588开头的银行卡是达州市商业银行借记卡 623588开头的银行卡号数字长度为19位 如：623588xxxxxxxxxxxxx
621223开头的银行卡是晋中银行借记卡 621223开头的银行卡号数字长度为19位 如：621223xxxxxxxxxxxxx
621780开头的银行卡是晋中银行借记卡 621780开头的银行卡号数字长度为19位 如：621780xxxxxxxxxxxxx
628389开头的银行卡是驻马店银行贷记卡 628389开头的银行卡号数字长度为16位 如：628389xxxxxxxxxx
621239开头的银行卡是衡水银行借记卡 621239开头的银行卡号数字长度为19位 如：621239xxxxxxxxxxxxx
623068开头的银行卡是衡水银行借记卡 623068开头的银行卡号数字长度为19位 如：623068xxxxxxxxxxxxx
628380开头的银行卡是衡水银行贷记卡 628380开头的银行卡号数字长度为16位 如：628380xxxxxxxxxx
628315开头的银行卡是周口银行贷记卡 628315开头的银行卡号数字长度为16位 如：628315xxxxxxxxxx
621272开头的银行卡是阳泉市商业银行借记卡 621272开头的银行卡号数字长度为16位 如：621272xxxxxxxxxx
621738开头的银行卡是阳泉市商业银行借记卡 621738开头的银行卡号数字长度为16位 如：621738xxxxxxxxxx
621273开头的银行卡是宜宾市商业银行借记卡 621273开头的银行卡号数字长度为19位 如：621273xxxxxxxxxxxxx
623079开头的银行卡是宜宾市商业银行借记卡 623079开头的银行卡号数字长度为19位 如：623079xxxxxxxxxxxxx
621263开头的银行卡是库尔勒市商业银行借记卡 621263开头的银行卡号数字长度为18位 如：621263xxxxxxxxxxxx
621325开头的银行卡是雅安市商业银行借记卡 621325开头的银行卡号数字长度为19位 如：621325xxxxxxxxxxxxx
623084开头的银行卡是雅安市商业银行借记卡 623084开头的银行卡号数字长度为19位 如：623084xxxxxxxxxxxxx
628331开头的银行卡是信阳银行贷记卡 628331开头的银行卡号数字长度为16位 如：628331xxxxxxxxxx
621366开头的银行卡是华融湘江银行借记卡 621366开头的银行卡号数字长度为19位 如：621366xxxxxxxxxxxxx
621388开头的银行卡是华融湘江银行借记卡 621388开头的银行卡号数字长度为19位 如：621388xxxxxxxxxxxxx
621348开头的银行卡是营口沿海银行借记卡 621348开头的银行卡号数字长度为19位 如：621348xxxxxxxxxxxxx
620063开头的银行卡是营口沿海银行借记卡 620063开头的银行卡号数字长度为19位 如：620063xxxxxxxxxxxxx
623080开头的银行卡是景德镇商业银行借记卡 623080开头的银行卡号数字长度为18位 如：623080xxxxxxxxxxxx
621360开头的银行卡是哈密市商业银行借记卡 621360开头的银行卡号数字长度为19位 如：621360xxxxxxxxxxxxx
623566开头的银行卡是哈密市商业银行借记卡 623566开头的银行卡号数字长度为19位 如：623566xxxxxxxxxxxxx
621217开头的银行卡是湖北银行借记卡 621217开头的银行卡号数字长度为18位 如：621217xxxxxxxxxxxx
622959开头的银行卡是湖北银行借记卡 622959开头的银行卡号数字长度为19位 如：622959xxxxxxxxxxxxx
622396开头的银行卡是湖北银行借记卡 622396开头的银行卡号数字长度为17位 如：622396xxxxxxxxxxx
622511开头的银行卡是湖北银行借记卡 622511开头的银行卡号数字长度为17位 如：622511xxxxxxxxxxx
621270开头的银行卡是湖北银行借记卡 621270开头的银行卡号数字长度为18位 如：621270xxxxxxxxxxxx
623076开头的银行卡是湖北银行借记卡 623076开头的银行卡号数字长度为19位 如：623076xxxxxxxxxxxxx
625850开头的银行卡是湖北银行贷记卡 625850开头的银行卡号数字长度为16位 如：625850xxxxxxxxxx
628340开头的银行卡是湖北银行贷记卡 628340开头的银行卡号数字长度为16位 如：628340xxxxxxxxxx
621391开头的银行卡是西藏银行借记卡 621391开头的银行卡号数字长度为19位 如：621391xxxxxxxxxxxxx
621339开头的银行卡是新疆汇和银行借记卡 621339开头的银行卡号数字长度为19位 如：621339xxxxxxxxxxxxx
621469开头的银行卡是广东华兴银行借记卡 621469开头的银行卡号数字长度为19位 如：621469xxxxxxxxxxxxx
621625开头的银行卡是广东华兴银行借记卡 621625开头的银行卡号数字长度为19位 如：621625xxxxxxxxxxxxx
623113开头的银行卡是广东华兴银行借记卡 623113开头的银行卡号数字长度为19位 如：623113xxxxxxxxxxxxx
623611开头的银行卡是广东华兴银行借记卡 623611开头的银行卡号数字长度为19位 如：623611xxxxxxxxxxxxx
623665开头的银行卡是广东华兴银行借记卡 623665开头的银行卡号数字长度为19位 如：623665xxxxxxxxxxxxx
623688开头的银行卡是广东华兴银行借记卡 623688开头的银行卡号数字长度为19位 如：623688xxxxxxxxxxxxx
623627开头的银行卡是广东华兴银行借记卡 623627开头的银行卡号数字长度为19位 如：623627xxxxxxxxxxxxx
621655开头的银行卡是宁波通商银行借记卡 621655开头的银行卡号数字长度为19位 如：621655xxxxxxxxxxxxx
623537开头的银行卡是宁波通商银行借记卡 623537开头的银行卡号数字长度为19位 如：623537xxxxxxxxxxxxx
621636开头的银行卡是甘肃银行借记卡 621636开头的银行卡号数字长度为19位 如：621636xxxxxxxxxxxxx
623182开头的银行卡是甘肃银行借记卡 623182开头的银行卡号数字长度为19位 如：623182xxxxxxxxxxxxx
628356开头的银行卡是甘肃银行贷记卡 628356开头的银行卡号数字长度为16位 如：628356xxxxxxxxxx
623087开头的银行卡是枣庄银行借记卡 623087开头的银行卡号数字长度为19位 如：623087xxxxxxxxxxxxx
621696开头的银行卡是本溪市商业银行借记卡 621696开头的银行卡号数字长度为19位 如：621696xxxxxxxxxxxxx
623577开头的银行卡是本溪市商业银行借记卡 623577开头的银行卡号数字长度为19位 如：623577xxxxxxxxxxxxx
621460开头的银行卡是贵州银行借记卡 621460开头的银行卡号数字长度为19位 如：621460xxxxxxxxxxxxx
622939开头的银行卡是贵州银行借记卡 622939开头的银行卡号数字长度为17位 如：622939xxxxxxxxxxx
621591开头的银行卡是贵州银行借记卡 621591开头的银行卡号数字长度为16位 如：621591xxxxxxxxxx
622961开头的银行卡是贵州银行借记卡 622961开头的银行卡号数字长度为16位 如：622961xxxxxxxxxx
622508开头的银行卡是贵州银行借记卡 622508开头的银行卡号数字长度为16位 如：622508xxxxxxxxxx
623138开头的银行卡是中原银行借记卡 623138开头的银行卡号数字长度为19位 如：623138xxxxxxxxxxxxx
621035开头的银行卡是中原银行借记卡 621035开头的银行卡号数字长度为19位 如：621035xxxxxxxxxxxxx
621221开头的银行卡是中原银行借记卡 621221开头的银行卡号数字长度为19位 如：621221xxxxxxxxxxxxx
623660开头的银行卡是中原银行借记卡 623660开头的银行卡号数字长度为16位 如：623660xxxxxxxxxx
621601开头的银行卡是中原银行借记卡 621601开头的银行卡号数字长度为19位 如：621601xxxxxxxxxxxxx
6224217开头的银行卡是中原银行借记卡 6224217开头的银行卡号数字长度为19位 如：6224217xxxxxxxxxxxx
621271开头的银行卡是中原银行借记卡 621271开头的银行卡号数字长度为19位 如：621271xxxxxxxxxxxxx
621327开头的银行卡是中原银行借记卡 621327开头的银行卡号数字长度为19位 如：621327xxxxxxxxxxxxx
621337开头的银行卡是中原银行借记卡 621337开头的银行卡号数字长度为19位 如：621337xxxxxxxxxxxxx
621748开头的银行卡是中原银行借记卡 621748开头的银行卡号数字长度为19位 如：621748xxxxxxxxxxxxx
621235开头的银行卡是中原银行借记卡 621235开头的银行卡号数字长度为18位 如：621235xxxxxxxxxxxx
621075开头的银行卡是中原银行借记卡 621075开头的银行卡号数字长度为19位 如：621075xxxxxxxxxxxxx
621753开头的银行卡是中原银行借记卡 621753开头的银行卡号数字长度为19位 如：621753xxxxxxxxxxxxx
622441开头的银行卡是中原银行借记卡 622441开头的银行卡号数字长度为16位 如：622441xxxxxxxxxx
622979开头的银行卡是中原银行借记卡 622979开头的银行卡号数字长度为19位 如：622979xxxxxxxxxxxxx
623037开头的银行卡是中原银行借记卡 623037开头的银行卡号数字长度为19位 如：623037xxxxxxxxxxxxx
623160开头的银行卡是中原银行借记卡 623160开头的银行卡号数字长度为19位 如：623160xxxxxxxxxxxxx
623505开头的银行卡是中原银行借记卡 623505开头的银行卡号数字长度为16位 如：623505xxxxxxxxxx
623623开头的银行卡是厦门国际银行借记卡 623623开头的银行卡号数字长度为16位 如：623623xxxxxxxxxx
623621开头的银行卡是海南银行借记卡 623621开头的银行卡号数字长度为19位 如：623621xxxxxxxxxxxxx
622478开头的银行卡是上海农商银行借记卡 622478开头的银行卡号数字长度为16位 如：622478xxxxxxxxxx
940013开头的银行卡是上海农商银行借记卡 940013开头的银行卡号数字长度为16位 如：940013xxxxxxxxxx
621495开头的银行卡是上海农商银行借记卡 621495开头的银行卡号数字长度为16位 如：621495xxxxxxxxxx
621688开头的银行卡是上海农商银行借记卡 621688开头的银行卡号数字长度为19位 如：621688xxxxxxxxxxxxx
623162开头的银行卡是上海农商银行借记卡 623162开头的银行卡号数字长度为19位 如：623162xxxxxxxxxxxxx
623552开头的银行卡是上海农商银行借记卡 623552开头的银行卡号数字长度为19位 如：623552xxxxxxxxxxxxx
62326508开头的银行卡是上海农商银行借记卡 62326508开头的银行卡号数字长度为19位 如：62326508xxxxxxxxxxx
622443开头的银行卡是昆山农信社借记卡 622443开头的银行卡号数字长度为19位 如：622443xxxxxxxxxxxxx
623132开头的银行卡是昆山农信社借记卡 623132开头的银行卡号数字长度为19位 如：623132xxxxxxxxxxxxx
940029开头的银行卡是昆山农信社借记卡 940029开头的银行卡号数字长度为19位 如：940029xxxxxxxxxxxxx
625101开头的银行卡是常熟市农村商业银行准贷记卡 625101开头的银行卡号数字长度为16位 如：625101xxxxxxxxxx
622462开头的银行卡是常熟市农村商业银行贷记卡 622462开头的银行卡号数字长度为16位 如：622462xxxxxxxxxx
628272开头的银行卡是常熟市农村商业银行贷记卡 628272开头的银行卡号数字长度为16位 如：628272xxxxxxxxxx
623071开头的银行卡是常熟农村商业银行借记卡 623071开头的银行卡号数字长度为19位 如：623071xxxxxxxxxxxxx
603694开头的银行卡是常熟农村商业银行借记卡 603694开头的银行卡号数字长度为19位 如：603694xxxxxxxxxxxxx
622323开头的银行卡是常熟农村商业银行借记卡 622323开头的银行卡号数字长度为19位 如：622323xxxxxxxxxxxxx
9400301开头的银行卡是常熟农村商业银行借记卡 9400301开头的银行卡号数字长度为19位 如：9400301xxxxxxxxxxxx
622128开头的银行卡是深圳农村商业银行借记卡 622128开头的银行卡号数字长度为16位 如：622128xxxxxxxxxx
622129开头的银行卡是深圳农村商业银行借记卡 622129开头的银行卡号数字长度为16位 如：622129xxxxxxxxxx
623035开头的银行卡是深圳农村商业银行借记卡 623035开头的银行卡号数字长度为16位 如：623035xxxxxxxxxx
623186开头的银行卡是深圳农村商业银行借记卡 623186开头的银行卡号数字长度为16位 如：623186xxxxxxxxxx
909810开头的银行卡是广州农村商业银行股份有限公司借记卡 909810开头的银行卡号数字长度为18位 如：909810xxxxxxxxxxxx
940035开头的银行卡是广州农村商业银行股份有限公司借记卡 940035开头的银行卡号数字长度为18位 如：940035xxxxxxxxxxxx
621522开头的银行卡是广州农村商业银行借记卡 621522开头的银行卡号数字长度为18位 如：621522xxxxxxxxxxxx
622439开头的银行卡是广州农村商业银行股份有限公司借记卡 622439开头的银行卡号数字长度为18位 如：622439xxxxxxxxxxxx
623257开头的银行卡是广州农村商业银行股份有限公司借记卡 623257开头的银行卡号数字长度为18位 如：623257xxxxxxxxxxxx
622271开头的银行卡是广东南海农村商业银行借记卡 622271开头的银行卡号数字长度为18位 如：622271xxxxxxxxxxxx
940037开头的银行卡是广东南海农村商业银行借记卡 940037开头的银行卡号数字长度为18位 如：940037xxxxxxxxxxxx
940038开头的银行卡是广东顺德农村商业银行借记卡 940038开头的银行卡号数字长度为16位 如：940038xxxxxxxxxx
985262开头的银行卡是广东顺德农村商业银行借记卡 985262开头的银行卡号数字长度为16位 如：985262xxxxxxxxxx
622322开头的银行卡是广东顺德农村商业银行借记卡 622322开头的银行卡号数字长度为16位 如：622322xxxxxxxxxx
621017开头的银行卡是昆明农联社借记卡 621017开头的银行卡号数字长度为19位 如：621017xxxxxxxxxxxxx
18572开头的银行卡是昆明农联社借记卡 18572开头的银行卡号数字长度为18位 如：018572xxxxxxxxxxxx
622369开头的银行卡是昆明农联社借记卡 622369开头的银行卡号数字长度为16位 如：622369xxxxxxxxxx
940042开头的银行卡是昆明农联社借记卡 940042开头的银行卡号数字长度为18位 如：940042xxxxxxxxxxxx
623190开头的银行卡是昆明农联社借记卡 623190开头的银行卡号数字长度为19位 如：623190xxxxxxxxxxxxx
622412开头的银行卡是湖北农信社借记卡 622412开头的银行卡号数字长度为16位 如：622412xxxxxxxxxx
621523开头的银行卡是湖北农信借记卡 621523开头的银行卡号数字长度为16位 如：621523xxxxxxxxxx
623055开头的银行卡是湖北农信社借记卡 623055开头的银行卡号数字长度为16位 如：623055xxxxxxxxxx
621013开头的银行卡是湖北农信社借记卡 621013开头的银行卡号数字长度为16位 如：621013xxxxxxxxxx
625889开头的银行卡是湖北农信社贷记卡 625889开头的银行卡号数字长度为16位 如：625889xxxxxxxxxx
628254开头的银行卡是湖北农信社贷记卡 628254开头的银行卡号数字长度为16位 如：628254xxxxxxxxxx
623276开头的银行卡是湖北农信社借记卡 623276开头的银行卡号数字长度为16位 如：623276xxxxxxxxxx
940044开头的银行卡是武汉农信借记卡 940044开头的银行卡号数字长度为17位 如：940044xxxxxxxxxxx
622312开头的银行卡是徐州市郊农村信用合作联社借记卡 622312开头的银行卡号数字长度为16位 如：622312xxxxxxxxxx
628381开头的银行卡是江阴农村商业银行贷记卡 628381开头的银行卡号数字长度为16位 如：628381xxxxxxxxxx
622481开头的银行卡是江阴市农村商业银行贷记卡 622481开头的银行卡号数字长度为16位 如：622481xxxxxxxxxx
622341开头的银行卡是江阴农村商业银行借记卡 622341开头的银行卡号数字长度为16位 如：622341xxxxxxxxxx
940058开头的银行卡是江阴农村商业银行借记卡 940058开头的银行卡号数字长度为16位 如：940058xxxxxxxxxx
623115开头的银行卡是江阴农村商业银行借记卡 623115开头的银行卡号数字长度为16位 如：623115xxxxxxxxxx
622867开头的银行卡是重庆农村商业银行股份有限公司借记卡 622867开头的银行卡号数字长度为16位 如：622867xxxxxxxxxx
622885开头的银行卡是重庆农村商业银行股份有限公司借记卡 622885开头的银行卡号数字长度为16位 如：622885xxxxxxxxxx
940020开头的银行卡是重庆农村商业银行股份有限公司借记卡 940020开头的银行卡号数字长度为16位 如：940020xxxxxxxxxx
621465开头的银行卡是重庆农村商业银行借记卡 621465开头的银行卡号数字长度为16位 如：621465xxxxxxxxxx
621528开头的银行卡是重庆农村商业银行借记卡 621528开头的银行卡号数字长度为16位 如：621528xxxxxxxxxx
621258开头的银行卡是重庆农村商业银行借记卡 621258开头的银行卡号数字长度为16位 如：621258xxxxxxxxxx
900105开头的银行卡是山东农村信用联合社借记卡 900105开头的银行卡号数字长度为16位 如：900105xxxxxxxxxx
900205开头的银行卡是山东农村信用联合社借记卡 900205开头的银行卡号数字长度为16位 如：900205xxxxxxxxxx
622319开头的银行卡是山东农村信用联合社借记卡 622319开头的银行卡号数字长度为16位 如：622319xxxxxxxxxx
621521开头的银行卡是山东省农村信用社联合社借记卡 621521开头的银行卡号数字长度为16位 如：621521xxxxxxxxxx
621690开头的银行卡是山东省农村信用社联合社借记卡 621690开头的银行卡号数字长度为16位 如：621690xxxxxxxxxx
622320开头的银行卡是山东省农村信用社联合社借记卡 622320开头的银行卡号数字长度为16位 如：622320xxxxxxxxxx
628375开头的银行卡是山东省农村信用社联合社贷记卡 628375开头的银行卡号数字长度为16位 如：628375xxxxxxxxxx
62231902开头的银行卡是青岛农信借记卡 62231902开头的银行卡号数字长度为16位 如：622319xxxxxxxxxx
90010502开头的银行卡是青岛农信借记卡 90010502开头的银行卡号数字长度为16位 如：900105xxxxxxxxxx
90020502开头的银行卡是青岛农信借记卡 90020502开头的银行卡号数字长度为16位 如：900205xxxxxxxxxx
622328开头的银行卡是东莞农村商业银行借记卡 622328开头的银行卡号数字长度为19位 如：622328xxxxxxxxxxxxx
940062开头的银行卡是东莞农村商业银行借记卡 940062开头的银行卡号数字长度为19位 如：940062xxxxxxxxxxxxx
625288开头的银行卡是东莞农村商业银行贷记卡 625288开头的银行卡号数字长度为16位 如：625288xxxxxxxxxx
623038开头的银行卡是东莞农村商业银行借记卡 623038开头的银行卡号数字长度为19位 如：623038xxxxxxxxxxxxx
625888开头的银行卡是东莞农村商业银行贷记卡 625888开头的银行卡号数字长度为16位 如：625888xxxxxxxxxx
622332开头的银行卡是张家港农村商业银行借记卡 622332开头的银行卡号数字长度为17位 如：622332xxxxxxxxxxx
940063开头的银行卡是张家港农村商业银行借记卡 940063开头的银行卡号数字长度为17位 如：940063xxxxxxxxxxx
623123开头的银行卡是张家港农村商业银行借记卡 623123开头的银行卡号数字长度为17位 如：623123xxxxxxxxxxx
622184开头的银行卡是福建省农村信用社联合社借记卡 622184开头的银行卡号数字长度为19位 如：622184xxxxxxxxxxxxx
621251开头的银行卡是福建省农村信用社联合社借记卡 621251开头的银行卡号数字长度为19位 如：621251xxxxxxxxxxxxx
621589开头的银行卡是福建省农村信用社联合社借记卡 621589开头的银行卡号数字长度为19位 如：621589xxxxxxxxxxxxx
623036开头的银行卡是福建省农村信用社联合社借记卡 623036开头的银行卡号数字长度为19位 如：623036xxxxxxxxxxxxx
621701开头的银行卡是福建省农村信用社联合社借记卡 621701开头的银行卡号数字长度为19位 如：621701xxxxxxxxxxxxx
622127开头的银行卡是福建省农村信用社联合社借记卡 622127开头的银行卡号数字长度为19位 如：622127xxxxxxxxxxxxx
622138开头的银行卡是北京农村商业银行借记卡 622138开头的银行卡号数字长度为19位 如：622138xxxxxxxxxxxxx
621066开头的银行卡是北京农村商业银行借记卡 621066开头的银行卡号数字长度为19位 如：621066xxxxxxxxxxxxx
621560开头的银行卡是北京农村商业银行借记卡 621560开头的银行卡号数字长度为19位 如：621560xxxxxxxxxxxxx
621068开头的银行卡是北京农村商业银行借记卡 621068开头的银行卡号数字长度为19位 如：621068xxxxxxxxxxxxx
620088开头的银行卡是北京农村商业银行借记卡 620088开头的银行卡号数字长度为19位 如：620088xxxxxxxxxxxxx
621067开头的银行卡是北京农村商业银行借记卡 621067开头的银行卡号数字长度为19位 如：621067xxxxxxxxxxxxx
62326520开头的银行卡是北京农村商业银行借记卡 62326520开头的银行卡号数字长度为19位 如：62326520xxxxxxxxxxx
625186开头的银行卡是北京农商行贷记卡 625186开头的银行卡号数字长度为16位 如：625186xxxxxxxxxx
628336开头的银行卡是北京农商行贷记卡 628336开头的银行卡号数字长度为16位 如：628336xxxxxxxxxx
625526开头的银行卡是北京农商行贷记卡 625526开头的银行卡号数字长度为16位 如：625526xxxxxxxxxx
622531开头的银行卡是天津农村商业银行借记卡 622531开头的银行卡号数字长度为19位 如：622531xxxxxxxxxxxxx
622329开头的银行卡是天津农村商业银行借记卡 622329开头的银行卡号数字长度为19位 如：622329xxxxxxxxxxxxx
623103开头的银行卡是天津农村商业银行借记卡 623103开头的银行卡号数字长度为19位 如：623103xxxxxxxxxxxxx
622339开头的银行卡是鄞州农村合作银行借记卡 622339开头的银行卡号数字长度为16位 如：622339xxxxxxxxxx
623539开头的银行卡是鄞州农村合作银行借记卡 623539开头的银行卡号数字长度为19位 如：623539xxxxxxxxxxxxx
620500开头的银行卡是宁波鄞州农村合作银行借记卡 620500开头的银行卡号数字长度为16位 如：620500xxxxxxxxxx
621024开头的银行卡是宁波鄞州农村合作银行借记卡 621024开头的银行卡号数字长度为16位 如：621024xxxxxxxxxx
622289开头的银行卡是宁波鄞州农村合作银行贷记卡 622289开头的银行卡号数字长度为16位 如：622289xxxxxxxxxx
622389开头的银行卡是宁波鄞州农村合作银行贷记卡 622389开头的银行卡号数字长度为16位 如：622389xxxxxxxxxx
628300开头的银行卡是宁波鄞州农村合作银行贷记卡 628300开头的银行卡号数字长度为16位 如：628300xxxxxxxxxx
622343开头的银行卡是佛山市三水区农村信用合作社借记卡 622343开头的银行卡号数字长度为19位 如：622343xxxxxxxxxxxxx
625516开头的银行卡是成都农村商业银行准贷记卡 625516开头的银行卡号数字长度为16位 如：625516xxxxxxxxxx
621516开头的银行卡是成都农村商业银行借记卡 621516开头的银行卡号数字长度为19位 如：621516xxxxxxxxxxxxx
622345开头的银行卡是成都农村商业银行股份有限公司借记卡 622345开头的银行卡号数字长度为19位 如：622345xxxxxxxxxxxxx
622452开头的银行卡是江苏农信社借记卡 622452开头的银行卡号数字长度为19位 如：622452xxxxxxxxxxxxx
621578开头的银行卡是江苏省农村信用社联合社借记卡 621578开头的银行卡号数字长度为19位 如：621578xxxxxxxxxxxxx
622324开头的银行卡是江苏农信社借记卡 622324开头的银行卡号数字长度为19位 如：622324xxxxxxxxxxxxx
623066开头的银行卡是江苏省农村信用社联合社借记卡 623066开头的银行卡号数字长度为19位 如：623066xxxxxxxxxxxxx
623267开头的银行卡是江苏省农村信用社联合社借记卡 623267开头的银行卡号数字长度为19位 如：623267xxxxxxxxxxxxx
622648开头的银行卡是吴江农商行贷记卡 622648开头的银行卡号数字长度为16位 如：622648xxxxxxxxxx
628248开头的银行卡是吴江农商行贷记卡 628248开头的银行卡号数字长度为16位 如：628248xxxxxxxxxx
622488开头的银行卡是吴江农商行借记卡 622488开头的银行卡号数字长度为16位 如：622488xxxxxxxxxx
623110开头的银行卡是吴江农商行借记卡 623110开头的银行卡号数字长度为16位 如：623110xxxxxxxxxx
622858开头的银行卡是浙江省农村信用社联合社借记卡 622858开头的银行卡号数字长度为19位 如：622858xxxxxxxxxxxxx
621058开头的银行卡是浙江省农村信用社联合社借记卡 621058开头的银行卡号数字长度为19位 如：621058xxxxxxxxxxxxx
621527开头的银行卡是浙江省农村信用社联合社借记卡 621527开头的银行卡号数字长度为19位 如：621527xxxxxxxxxxxxx
